Invoice Text,Category
Uber invoice for travel expense ref:926762,Travel
GitHub invoice for monthly compute usage PO#19232,Cloud/Software
FEDEX warehouse delivery,Logistics
DHL invoice for air freight,Logistics
PACKRIGHT packaging materials INV-2026-8573,Inventory
OPENAI database hosting PO#19232,Cloud/Software
desk supplies from PaperMart PO#19232,Office Supplies
Adobe - SaaS license for corporate account,Cloud/Software
SKU inventory purchase from Industrial Hub,Inventory
Tata Power water utility chg PO#19232,Utilities
IRCTC rail ticket booking,Travel
printer toner billed by WB Stationers PO#19232,Office Supplies
client meeting travel from Akasa Air,Travel
office electricity usage billed by Vodafone ref:926762,Utilities
Municipal Water office electricity usage Amt INR 39736,Utilities
container movement billed by FedEx INV-2026-8573,Logistics
Energy Board inv0ice for water chg ref:926762,Utilities
Oracle annual renewal ref:926762,Cloud/Software
ElectroParts - SKU inventory purchase for corporate account,Inventory
IndiGo invoice for airfare for business trip,Travel
Akasa Air invoice for travel expense INV-2026-8573,Travel
VODAFONE water charges PO#19232,Utilities
MARRIOTT conference travel Amt INR 39736,Travel
CRM subscription billed by Salesforce INV-2026-8573,Cloud/Software
WB Stationers inv0ice for office stationery,Office Supplies
desk supplies billed by Staples,Office Supplies
courier charges from XpressBees INV-2026-8573,Logistics
CESC - electricity bill for corporate account INV-2026-8573,Utilities
UPS air freight PO#19232,Logistics
VODAFONE internet bill,Utilities
AgriSupply - finished goods procurement for corporate account,Inventory
OpenAI API usage charges ref:926762,Cloud/Software
internet bill billed by Jio Fiber,Utilities
printer toner from Canon Supplies,Office Supplies
packaging materials billed by ElectroParts,Inventory
ChemStore invoice for packaging materials,Inventory
SaaS license from Adobe Amt INR 39736,Cloud/Software
finished goods procurement from ElectroParts,Inventory
lodging charges from Ola,Travel
office stationery billed by Canon Supplies Amt INR 39736,Office Supplies
MICROSOFT cloud hosting Amt INR 39736,Cloud/Software
Global Traders industrial inventory,Inventory
Jio Fiber internet bill,Utilities
Delhivery inv0ice for courier chg,Logistics
FedEx invoice for warehouse delivery ref:926762,Logistics
flight ticket from Ola INV-2026-8573,Travel
UPS - cargo handling for corporate account ref:926762,Logistics
BLUE DART cargo handling ref:926762,Logistics
Mega Wholesale - bulk procurement of components for corporate account Amt INR 39736,Inventory
manufacturing supplies from SteelWorks PO#19232,Inventory
water charges billed by Jio Fiber,Utilities
staplers billed by WB Stationers,Office Supplies
Mega Wholesale - raw material purchase for corporate account INV-2026-8573,Inventory
road transport billed by Delhivery,Logistics
Oracle - SaaS license for corporate account Amt INR 39736,Cloud/Software
AgriSupply invoice for manufacturing supplies,Inventory
BSNL - utility surcharge for corporate account,Utilities
OpenAI inv0ice for API usage chg INV-2026-8573,Cloud/Software
Office Depot - printer paper for corporate account ref:926762,Office Supplies
PrintHub invoice for printer cartridges PO#19232,Office Supplies
ChemStore - industrial inventory for corporate account,Inventory
freight charges from XpressBees,Logistics
SPICEJET hotel accommodation INV-2026-8573,Travel
PrintHub - printer paper for corporate account Amt INR 39736,Office Supplies
Airtel invoice for telephone charges Amt INR 39736,Utilities
DTDC invoice for shipping surcharge PO#19232,Logistics
DTDC shipping surcharge,Logistics
LOCAL OFFICE MART notebooks,Office Supplies
Uber - flight ticket for corporate account,Travel
Maersk express parcel,Logistics
JIO FIBER water utility charges Amt INR 39736,Utilities
Energy Board gas utility payment ref:926762,Utilities
broadband inv0ice billed by Vodafone Amt INR 39736,Utilities
airfare for business trip billed by SpiceJet,Travel
Mega Wholesale invoice for electronic components ref:926762,Inventory
GitHub - software subscription for corporate account INV-2026-8573,Cloud/Software
telephone charges billed by CESC,Utilities
cloud hosting billed by Google Cloud Amt INR 39736,Cloud/Software
freight charges billed by Maersk,Logistics
SHADOWFAX last mile shipment,Logistics
MakeMyTrip invoice for cab reimbursement PO#19232,Travel
packaging materials from SteelWorks,Inventory
Canon Supplies printer toner PO#19232,Office Supplies
notebooks billed by Local Office Mart Amt INR 39736,Office Supplies
BSNL gas utility payment,Utilities
rail ticket booking billed by IndiGo,Travel
ZOHO database hosting PO#19232,Cloud/Software
telephone chg billed by Vodafone PO#19232,Utilities
Local Office Mart - office stationery for corporate account,Office Supplies
printer paper billed by HP Store,Office Supplies
meter consumption chg billed by Airtel,Utilities
Canon Supplies invoice for office stationery,Office Supplies
Google Cloud software subscription ref:926762,Cloud/Software
electronic components billed by ElectroParts INV-2026-8573,Inventory
XPRESSBEES last mile shipment Amt INR 39736,Logistics
airport transfer from Uber PO#19232,Travel
Industrial Hub invoice for bulk procurement of components ref:926762,Inventory
metal fasteners billed by ChemStore,Inventory
Global Traders invoice for raw material purchase INV-2026-8573,Inventory
Vodafone office electricity usage Amt INR 39736,Utilities
Industrial Hub invoice for industrial inventory PO#19232,Inventory
Shadowfax express parcel,Logistics
HP Store whiteboard markers Amt INR 39736,Office Supplies
IHG Hotels invoice for cab reimbursement ref:926762,Travel
AGRISUPPLY industrial inventory PO#19232,Inventory
metal fasteners from Industrial Hub INV-2026-8573,Inventory
CANON SUPPLIES printer cartridges,Office Supplies
express parcel billed by Delhivery Amt INR 39736,Logistics
water chg from BSNL,Utilities
AWS - collaboration software for corporate account PO#19232,Cloud/Software
telephone charges from Tata Power INV-2026-8573,Utilities
flight ticket from IRCTC,Travel
staplers billed by Office Depot PO#19232,Office Supplies
travel expense from IRCTC,Travel
Municipal Water internet bill INV-2026-8573,Utilities
PackRight - electronic components for corporate account PO#19232,Inventory
MICROSOFT api usage charges INV-2026-8573,Cloud/Software
Global Traders - warehouse stock replenishment for corporate account INV-2026-8573,Inventory
Maersk invoice for express parcel ref:926762,Logistics
Municipal Water - water utility charges for corporate account PO#19232,Utilities
desk supplies from PaperMart PO#19232,Office Supplies
XpressBees courier charges,Logistics
PaperMart whiteboard markers,Office Supplies
BSNL invoice for broadband invoice ref:926762,Utilities
BSNL invoice for water utility charges,Utilities
AgriSupply - finished goods procurement for corporate account INV-2026-8573,Inventory
air freight billed by DHL PO#19232,Logistics
gas utility payment billed by Tata Power,Utilities
MEGA WHOLESALE electronic components PO#19232,Inventory
PrintHub - notebooks for corporate account,Office Supplies
flight ticket from MakeMyTrip PO#19232,Travel
Zoho - software subscription for corporate account,Cloud/Software
annual renewal from Google Cloud,Cloud/Software
SteelWorks - SKU inventory purchase for corporate account,Inventory
UPS road transport INV-2026-8573,Logistics
Blue Dart - courier chg for corporate account,Logistics
BSNL - water charges for corporate account,Utilities
Adobe - cloud hosting for corporate account INV-2026-8573,Cloud/Software
hotel accommodation from Ola PO#19232,Travel
SteelWorks SKU inventory purchase ref:926762,Inventory
Google Cloud - collaboration software for corporate account ref:926762,Cloud/Software
gas utility payment billed by Vodafone PO#19232,Utilities
packaging materials from Global Traders ref:926762,Inventory
SteelWorks bulk procurement of components PO#19232,Inventory
printer paper billed by WB Stationers,Office Supplies
printer toner from HP Store,Office Supplies
AIRTEL internet bill,Utilities
Mega Wholesale - electronic components for corporate account,Inventory
database hosting from AWS PO#19232,Cloud/Software
ADOBE api usage charges ref:926762,Cloud/Software
AWS annual renewal,Cloud/Software
SteelWorks inv0ice for warehouse stock replenishment PO#19232,Inventory
CANON SUPPLIES office pens,Office Supplies
OpenAI - annual renewal for corporate account,Cloud/Software
SaaS license from GitHub PO#19232,Cloud/Software
Uber rail ticket booking,Travel
AGRISUPPLY electronic components,Inventory
Microsoft - annual renewal for corporate account PO#19232,Cloud/Software
client meeting travel billed by Air India INV-2026-8573,Travel
Vodafone inv0ice for electricity bill PO#19232,Utilities
INDUSTRIAL HUB industrial inventory INV-2026-8573,Inventory
electronic components billed by ElectroParts,Inventory
travel expense billed by Akasa Air PO#19232,Travel
CANON SUPPLIES printer toner,Office Supplies
Delhivery invoice for freight charges ref:926762,Logistics
BLUE DART last mile shipment ref:926762,Logistics
Energy Board - broadband inv0ice for corporate account PO#19232,Utilities
Local Office Mart desk supplies Amt INR 39736,Office Supplies
CHEMSTORE bulk procurement of components INV-2026-8573,Inventory
BSNL meter consumption chg Amt INR 39736,Utilities
bulk procurement of components billed by Industrial Hub,Inventory
OPENAI api usage chg INV-2026-8573,Cloud/Software
SteelWorks industrial inventory ref:926762,Inventory
air freight billed by Blue Dart PO#19232,Logistics
PackRight invoice for metal fasteners,Inventory
STEELWORKS raw material purchase,Inventory
FedEx - last mile shipment for corporate account Amt INR 39736,Logistics
DHL cargo handling Amt INR 39736,Logistics
SpiceJet - hotel accommodation for corporate account,Travel
Microsoft invoice for CRM subscription,Cloud/Software
SKU inventory purchase billed by SteelWorks PO#19232,Inventory
JIO FIBER utility surcharge,Utilities
cab reimbursement billed by IndiGo Amt INR 39736,Travel
GLOBAL TRADERS electronic components Amt INR 39736,Inventory
airport transfer from MakeMyTrip,Travel
conference travel billed by Ola ref:926762,Travel
air freight billed by Shadowfax INV-2026-8573,Logistics
TATA POWER broadband invoice,Utilities
Google Cloud invoice for SaaS license ref:926762,Cloud/Software
Local Office Mart - desk supplies for corporate account Amt INR 39736,Office Supplies
Office Depot inv0ice for printer cartridges,Office Supplies
MICROSOFT annual renewal Amt INR 39736,Cloud/Software
Jio Fiber - internet bill for corporate account,Utilities
Google Cloud annual renewal,Cloud/Software
ChemStore packaging materials INV-2026-8573,Inventory
Gati inv0ice for last mile shipment PO#19232,Logistics
PaperMart invoice for office stationery INV-2026-8573,Office Supplies
SteelWorks inv0ice for raw material purchase PO#19232,Inventory
DHL - express parcel for corporate account ref:926762,Logistics
MakeMyTrip - cab reimbursement for corporate account,Travel
Vodafone inv0ice for broadband inv0ice INV-2026-8573,Utilities
express parcel billed by DHL PO#19232,Logistics
rail ticket booking billed by Marriott Amt INR 39736,Travel
software subscription from Microsoft,Cloud/Software
Marriott travel expense INV-2026-8573,Travel
Municipal Water water charges ref:926762,Utilities
conference travel billed by Ola PO#19232,Travel
Delhivery invoice for shipping surcharge INV-2026-8573,Logistics
Jio Fiber - gas utility payment for corporate account,Utilities
ELECTROPARTS packaging materials,Inventory
BSNL electricity bill,Utilities
PrintHub staplers PO#19232,Office Supplies
SPICEJET hotel accommodation,Travel
CESC invoice for electricity bill INV-2026-8573,Utilities
Municipal Water inv0ice for meter consumption chg,Utilities
DTDC freight charges,Logistics
monthly compute usage from Microsoft INV-2026-8573,Cloud/Software
ELECTROPARTS raw material purchase ref:926762,Inventory
AgriSupply invoice for bulk procurement of components,Inventory
Airtel invoice for utility surcharge,Utilities
hotel accommodation billed by Akasa Air ref:926762,Travel
Marriott - cab reimbursement for corporate account,Travel
lodging charges from IRCTC,Travel
IndiGo rail ticket booking PO#19232,Travel
Air India flight ticket Amt INR 39736,Travel
water utility charges from Vodafone ref:926762,Utilities
OPENAI software subscription PO#19232,Cloud/Software
INDUSTRIAL HUB raw material purchase INV-2026-8573,Inventory
Adobe - API usage charges for corporate account ref:926762,Cloud/Software
SaaS license from OpenAI Amt INR 39736,Cloud/Software
Mega Wholesale electronic components INV-2026-8573,Inventory
Office Depot - printer paper for corporate account INV-2026-8573,Office Supplies
PackRight packaging materials,Inventory
PaperMart invoice for office pens Amt INR 39736,Office Supplies
Vodafone - broadband invoice for corporate account PO#19232,Utilities
FedEx invoice for road transport ref:926762,Logistics
DTDC air freight,Logistics
ATLASSIAN cloud hosting,Cloud/Software
HP STORE printer paper PO#19232,Office Supplies
staplers billed by Staples,Office Supplies
Vodafone - water charges for corporate account,Utilities
Blue Dart - courier charges for corporate account Amt INR 39736,Logistics
PrintHub - printer paper for corporate account,Office Supplies
CRM subscription from Oracle ref:926762,Cloud/Software
BSNL office electricity usage,Utilities
Adobe - database hosting for corporate account PO#19232,Cloud/Software
MakeMyTrip lodging chg,Travel
SpiceJet - client meeting travel for corporate account PO#19232,Travel
HP Store staplers,Office Supplies
lodging charges from Marriott,Travel
AgriSupply SKU inventory purchase,Inventory
raw material purchase from Global Traders Amt INR 39736,Inventory
notebooks from Local Office Mart,Office Supplies
IRCTC invoice for rail ticket booking Amt INR 39736,Travel
finished goods procurement billed by AgriSupply,Inventory
INDUSTRIAL HUB electronic components Amt INR 39736,Inventory
road transport billed by XpressBees PO#19232,Logistics
printer cartridges from PaperMart,Office Supplies
Vodafone broadband inv0ice,Utilities
AWS - collaboration software for corporate account ref:926762,Cloud/Software
finished goods procurement from PackRight PO#19232,Inventory
Vodafone - utility surcharge for corporate account,Utilities
collaboration software from OpenAI Amt INR 39736,Cloud/Software
IndiGo invoice for travel expense ref:926762,Travel
Uber cab reimbursement,Travel
office pens from Office Depot PO#19232,Office Supplies
raw material purchase from SteelWorks INV-2026-8573,Inventory
Office Depot inv0ice for whiteboard markers Amt INR 39736,Office Supplies
MICROSOFT cloud hosting INV-2026-8573,Cloud/Software
software subscription billed by AWS ref:926762,Cloud/Software
Industrial Hub invoice for bulk procurement of components ref:926762,Inventory
Salesforce SaaS license Amt INR 39736,Cloud/Software
Blue Dart last mile shipment INV-2026-8573,Logistics
folders and binders from PrintHub Amt INR 39736,Office Supplies
courier charges billed by XpressBees,Logistics
Atlassian inv0ice for database hosting Amt INR 39736,Cloud/Software
IRCTC flight ticket PO#19232,Travel
Delhivery - warehouse delivery for corporate account ref:926762,Logistics
AIRTEL water charges PO#19232,Utilities
SaaS license from Oracle,Cloud/Software
PaperMart invoice for whiteboard markers,Office Supplies
DHL air freight ref:926762,Logistics
container movement billed by Shadowfax,Logistics
hotel accommodation from MakeMyTrip PO#19232,Travel
electricity bill billed by Tata Power,Utilities
Adobe invoice for API usage charges ref:926762,Cloud/Software
INDUSTRIAL HUB industrial inventory,Inventory
MakeMyTrip client meeting travel PO#19232,Travel
IHG HOTELS airfare for business trip Amt INR 39736,Travel
UBER airfare for business trip,Travel
SHADOWFAX express parcel Amt INR 39736,Logistics
Akasa Air - rail ticket booking for corporate account ref:926762,Travel
broadband inv0ice billed by Vodafone,Utilities
SpiceJet invoice for airfare for business trip ref:926762,Travel
Tata Power inv0ice for internet bill,Utilities
IHG Hotels - airfare for business trip for corporate account,Travel
IHG HOTELS rail ticket booking,Travel
Maersk invoice for express parcel,Logistics
Atlassian - annual renewal for corporate account,Cloud/Software
SKU inventory purchase from ElectroParts PO#19232,Inventory
staplers billed by Local Office Mart ref:926762,Office Supplies
courier charges from Blue Dart INV-2026-8573,Logistics
staplers from Local Office Mart ref:926762,Office Supplies
ENERGY BOARD broadband invoice,Utilities
freight charges billed by FedEx ref:926762,Logistics
CANON SUPPLIES notebooks ref:926762,Office Supplies
ElectroParts finished goods procurement,Inventory
FedEx shipping surcharge,Logistics
DHL last mile shipment,Logistics
ZOHO database hosting,Cloud/Software
staplers from PrintHub Amt INR 39736,Office Supplies
staplers billed by WB Stationers ref:926762,Office Supplies
Mega Wholesale packaging materials,Inventory
staplers billed by PrintHub,Office Supplies
CRM subscription billed by Adobe,Cloud/Software
Global Traders - packaging materials for corporate account,Inventory
OPENAI software subscription,Cloud/Software
STAPLES notebooks ref:926762,Office Supplies
Shadowfax - shipping surcharge for corporate account ref:926762,Logistics
flight ticket billed by IndiGo,Travel
GOOGLE CLOUD annual renewal,Cloud/Software
AGRISUPPLY raw material purchase,Inventory
client meeting travel billed by Ola ref:926762,Travel
JIO FIBER water utility chg PO#19232,Utilities
Local Office Mart - desk supplies for corporate account ref:926762,Office Supplies
Ola conference travel,Travel
raw material purchase from Industrial Hub,Inventory
last mile shipment billed by Gati ref:926762,Logistics
Shadowfax - container movement for corporate account Amt INR 39736,Logistics
flight ticket from Uber PO#19232,Travel
Global Traders warehouse stock replenishment ref:926762,Inventory
API usage charges billed by OpenAI,Cloud/Software
office stationery billed by PrintHub Amt INR 39736,Office Supplies
last mile shipment from DHL,Logistics
Municipal Water invoice for gas utility payment INV-2026-8573,Utilities
travel expense billed by Ola Amt INR 39736,Travel
hotel accommodation billed by Uber ref:926762,Travel
airport transfer billed by IndiGo,Travel
Marriott inv0ice for airport transfer,Travel
freight charges billed by Shadowfax ref:926762,Logistics
road transport from UPS PO#19232,Logistics
water utility chg billed by Municipal Water,Utilities
IRCTC travel expense PO#19232,Travel
VODAFONE utility surcharge,Utilities
OpenAI - API usage chg for corporate account,Cloud/Software
Atlassian - collaboration software for corporate account,Cloud/Software
VODAFONE utility surcharge Amt INR 39736,Utilities
AWS API usage charges INV-2026-8573,Cloud/Software
printer paper billed by WB Stationers PO#19232,Office Supplies
ElectroParts electronic components PO#19232,Inventory
Local Office Mart inv0ice for office pens PO#19232,Office Supplies
annual renewal billed by Zoho Amt INR 39736,Cloud/Software
SteelWorks bulk procurement of components ref:926762,Inventory
warehouse delivery from FedEx PO#19232,Logistics
Akasa Air - cab reimbursement for corporate account,Travel
Tata Power - office electricity usage for corporate account PO#19232,Utilities
PACKRIGHT warehouse stock replenishment,Inventory
Zoho - monthly compute usage for corporate account,Cloud/Software
SHADOWFAX last mile shipment ref:926762,Logistics
Airtel - office electricity usage for corporate account,Utilities
airfare for business trip billed by Ola,Travel
FEDEX container movement ref:926762,Logistics
staplers from Local Office Mart PO#19232,Office Supplies
IndiGo inv0ice for lodging chg,Travel
INDIGO conference travel,Travel
SpiceJet invoice for cab reimbursement,Travel
CESC office electricity usage Amt INR 39736,Utilities
Air India invoice for rail ticket booking Amt INR 39736,Travel
notebooks billed by WB Stationers INV-2026-8573,Office Supplies
Gati invoice for road transport,Logistics
office electricity usage from BSNL,Utilities
PaperMart invoice for whiteboard markers Amt INR 39736,Office Supplies
hotel accommodation from Ola ref:926762,Travel
XPRESSBEES express parcel Amt INR 39736,Logistics
Gati - last mile shipment for corporate account,Logistics
CESC office electricity usage,Utilities
Shadowfax - shipping surcharge for corporate account INV-2026-8573,Logistics
Adobe - API usage charges for corporate account PO#19232,Cloud/Software
FedEx invoice for shipping surcharge INV-2026-8573,Logistics
Airtel water utility charges,Utilities
meter consumption chg billed by Airtel,Utilities
Microsoft invoice for API usage charges,Cloud/Software
AWS - software subscription for corporate account,Cloud/Software
SpiceJet invoice for travel expense,Travel
Vodafone gas utility payment ref:926762,Utilities
PackRight - electronic components for corporate account,Inventory
Blue Dart invoice for shipping surcharge,Logistics
IHG Hotels - cab reimbursement for corporate account,Travel
software subscription billed by AWS ref:926762,Cloud/Software
cloud hosting from AWS,Cloud/Software
cargo handling billed by Blue Dart,Logistics
AgriSupply inv0ice for manufacturing supplies PO#19232,Inventory
PaperMart - printer cartridges for corporate account INV-2026-8573,Office Supplies
SpiceJet - airport transfer for corporate account Amt INR 39736,Travel
IRCTC hotel accommodation,Travel
last mile shipment billed by FedEx,Logistics
Air India - conference travel for corporate account,Travel
Salesforce invoice for annual renewal PO#19232,Cloud/Software
client meeting travel billed by Uber,Travel
WB Stationers - folders and binders for corporate account INV-2026-8573,Office Supplies
PACKRIGHT manufacturing supplies ref:926762,Inventory
container movement billed by FedEx,Logistics
electricity bill from Energy Board PO#19232,Utilities
airport transfer billed by SpiceJet ref:926762,Travel
WB Stationers whiteboard markers ref:926762,Office Supplies
INDIGO hotel accommodation ref:926762,Travel
packaging materials billed by AgriSupply ref:926762,Inventory
collaboration software billed by Atlassian,Cloud/Software
ORACLE saas license,Cloud/Software
STAPLES staplers PO#19232,Office Supplies
Canon Supplies folders and binders,Office Supplies
HP Store - folders and binders for corporate account,Office Supplies
electricity bill from Airtel Amt INR 39736,Utilities
Salesforce collaboration software,Cloud/Software
gas utility payment from Jio Fiber Amt INR 39736,Utilities
PaperMart printer toner PO#19232,Office Supplies
Blue Dart air freight INV-2026-8573,Logistics
Marriott invoice for travel expense,Travel
INDUSTRIAL HUB packaging materials Amt INR 39736,Inventory
XPRESSBEES cargo handling,Logistics
printer paper billed by WB Stationers PO#19232,Office Supplies
GITHUB monthly compute usage,Cloud/Software
DHL invoice for express parcel,Logistics
Mega Wholesale metal fasteners INV-2026-8573,Inventory
Air India - rail ticket booking for corporate account,Travel
road transport billed by FedEx INV-2026-8573,Logistics
MAKEMYTRIP hotel accommodation,Travel
courier charges from Shadowfax,Logistics
WB Stationers printer paper Amt INR 39736,Office Supplies
database hosting billed by OpenAI Amt INR 39736,Cloud/Software
folders and binders from Local Office Mart,Office Supplies
courier charges from DHL,Logistics
SteelWorks invoice for raw material purchase,Inventory
travel expense from IRCTC,Travel
IHG HOTELS airfare for business trip Amt INR 39736,Travel
WB Stationers - notebooks for corporate account,Office Supplies
MEGA WHOLESALE electronic components,Inventory
GATI last mile shipment,Logistics
Salesforce invoice for database hosting,Cloud/Software
hotel accommodation billed by IndiGo INV-2026-8573,Travel
Marriott - cab reimbursement for corporate account,Travel
Salesforce database hosting ref:926762,Cloud/Software
printer toner from Staples,Office Supplies
BSNL office electricity usage,Utilities
internet bill billed by BSNL,Utilities
Gati - last mile shipment for corporate account INV-2026-8573,Logistics
annual renewal from Microsoft,Cloud/Software
Marriott flight ticket,Travel
rail ticket booking billed by Akasa Air Amt INR 39736,Travel
SKU inventory purchase billed by AgriSupply,Inventory
SKU inventory purchase from SteelWorks INV-2026-8573,Inventory
MAKEMYTRIP cab reimbursement INV-2026-8573,Travel
SpiceJet invoice for lodging charges,Travel
Akasa Air inv0ice for client meeting travel,Travel
telephone charges billed by Vodafone,Utilities
SteelWorks manufacturing supplies ref:926762,Inventory
electronic components billed by PackRight PO#19232,Inventory
UPS invoice for air freight,Logistics
utility surcharge from Municipal Water PO#19232,Utilities
air freight from Maersk Amt INR 39736,Logistics
MEGA WHOLESALE electronic components PO#19232,Inventory
PaperMart printer toner Amt INR 39736,Office Supplies
BLUE DART courier charges,Logistics
Google Cloud SaaS license PO#19232,Cloud/Software
GITHUB developer tools,Cloud/Software
MAKEMYTRIP flight ticket PO#19232,Travel
MAKEMYTRIP airport transfer ref:926762,Travel
ElectroParts - electronic components for corporate account,Inventory
AgriSupply invoice for metal fasteners Amt INR 39736,Inventory
Atlassian collaboration software,Cloud/Software
Microsoft invoice for database hosting ref:926762,Cloud/Software
manufacturing supplies billed by Mega Wholesale INV-2026-8573,Inventory
rail ticket booking billed by Air India,Travel
BSNL - gas utility payment for corporate account PO#19232,Utilities
printer toner from PrintHub PO#19232,Office Supplies
warehouse delivery from DTDC ref:926762,Logistics
SpiceJet - airport transfer for corporate account,Travel
FedEx invoice for express parcel Amt INR 39736,Logistics
Local Office Mart invoice for printer paper,Office Supplies
DHL - freight chg for corporate account,Logistics
Akasa Air - airfare for business trip for corporate account INV-2026-8573,Travel
staplers billed by Local Office Mart ref:926762,Office Supplies
Vodafone - office electricity usage for corporate account,Utilities
notebooks billed by WB Stationers INV-2026-8573,Office Supplies
meter consumption charges from Vodafone INV-2026-8573,Utilities
WB Stationers invoice for folders and binders INV-2026-8573,Office Supplies
Zoho - cloud hosting for corporate account Amt INR 39736,Cloud/Software
Office Depot inv0ice for office stationery,Office Supplies
VODAFONE water utility chg,Utilities
freight charges from Blue Dart,Logistics
IRCTC rail ticket booking ref:926762,Travel
Mega Wholesale raw material purchase,Inventory
ElectroParts inv0ice for warehouse stock replenishment INV-2026-8573,Inventory
flight ticket billed by MakeMyTrip PO#19232,Travel
staplers from HP Store PO#19232,Office Supplies
flight ticket from Ola,Travel
SKU inventory purchase from Industrial Hub,Inventory
Tata Power water charges,Utilities
MEGA WHOLESALE warehouse stock replenishment INV-2026-8573,Inventory
Municipal Water - internet bill for corporate account,Utilities
Global Traders invoice for warehouse stock replenishment ref:926762,Inventory
whiteboard markers from Staples INV-2026-8573,Office Supplies
AIRTEL office electricity usage,Utilities
whiteboard markers billed by Local Office Mart PO#19232,Office Supplies
MARRIOTT travel expense,Travel
airfare for business trip billed by MakeMyTrip INV-2026-8573,Travel
PackRight invoice for SKU inventory purchase,Inventory
Google Cloud API usage charges Amt INR 39736,Cloud/Software
Marriott invoice for rail ticket booking ref:926762,Travel
PaperMart - desk supplies for corporate account,Office Supplies
WB Stationers invoice for folders and binders,Office Supplies
PrintHub - printer cartridges for corporate account,Office Supplies
CESC gas utility payment Amt INR 39736,Utilities
DELHIVERY express parcel Amt INR 39736,Logistics
Microsoft - database hosting for corporate account PO#19232,Cloud/Software
INDIGO cab reimbursement INV-2026-8573,Travel
HP Store printer toner,Office Supplies
packaging materials from Industrial Hub,Inventory
Blue Dart - warehouse delivery for corporate account ref:926762,Logistics
HP Store desk supplies PO#19232,Office Supplies
raw material purchase billed by AgriSupply Amt INR 39736,Inventory
printer toner from Local Office Mart INV-2026-8573,Office Supplies
Ola travel expense,Travel
cargo handling billed by FedEx,Logistics
air freight billed by UPS,Logistics
telephone charges billed by Airtel,Utilities
SPICEJET lodging chg INV-2026-8573,Travel
PaperMart - printer toner for corporate account,Office Supplies
CANON SUPPLIES desk supplies ref:926762,Office Supplies
Mega Wholesale warehouse stock replenishment Amt INR 39736,Inventory
rail ticket booking billed by MakeMyTrip,Travel
Mega Wholesale invoice for warehouse stock replenishment PO#19232,Inventory
Ola flight ticket Amt INR 39736,Travel
PaperMart invoice for folders and binders INV-2026-8573,Office Supplies
Municipal Water invoice for telephone charges,Utilities
Office Depot office stationery PO#19232,Office Supplies
Municipal Water - utility surcharge for corporate account PO#19232,Utilities
telephone charges from Tata Power,Utilities
Ola invoice for airfare for business trip,Travel
OFFICE DEPOT whiteboard markers Amt INR 39736,Office Supplies
Staples - printer paper for corporate account ref:926762,Office Supplies
utility surcharge billed by BSNL,Utilities
LOCAL OFFICE MART office pens INV-2026-8573,Office Supplies
ADOBE monthly compute usage,Cloud/Software
HP Store whiteboard markers Amt INR 39736,Office Supplies
OpenAI cloud hosting ref:926762,Cloud/Software
MAKEMYTRIP client meeting travel,Travel
BSNL invoice for broadband invoice,Utilities
Marriott invoice for flight ticket,Travel
ElectroParts SKU inventory purchase,Inventory
XPRESSBEES container movement,Logistics
PackRight - bulk procurement of components for corporate account INV-2026-8573,Inventory
SpiceJet client meeting travel PO#19232,Travel
UPS freight charges,Logistics
Mega Wholesale - SKU inventory purchase for corporate account INV-2026-8573,Inventory
staplers billed by Office Depot,Office Supplies
printer cartridges from Local Office Mart,Office Supplies
rail ticket booking billed by MakeMyTrip,Travel
XpressBees cargo handling,Logistics
Office Depot printer toner,Office Supplies
SteelWorks invoice for packaging materials Amt INR 39736,Inventory
AWS invoice for developer tools ref:926762,Cloud/Software
AWS - annual renewal for corporate account,Cloud/Software
Energy Board - office electricity usage for corporate account,Utilities
cargo handling from Maersk,Logistics
Marriott inv0ice for flight ticket ref:926762,Travel
industrial inventory from Industrial Hub,Inventory
Marriott client meeting travel,Travel
IHG Hotels - flight ticket for corporate account,Travel
warehouse delivery from Blue Dart PO#19232,Logistics
warehouse stock replenishment from Mega Wholesale ref:926762,Inventory
packaging materials from Mega Wholesale,Inventory
ATLASSIAN annual renewal Amt INR 39736,Cloud/Software
Tata Power invoice for internet bill ref:926762,Utilities
CESC inv0ice for telephone chg,Utilities
GATI last mile shipment,Logistics
Mega Wholesale manufacturing supplies,Inventory
VODAFONE gas utility payment INV-2026-8573,Utilities
AWS software subscription,Cloud/Software
printer toner billed by PaperMart Amt INR 39736,Office Supplies
WB Stationers folders and binders PO#19232,Office Supplies
Mega Wholesale - bulk procurement of components for corporate account PO#19232,Inventory
HP Store - printer toner for corporate account INV-2026-8573,Office Supplies
office stationery billed by WB Stationers,Office Supplies
express parcel billed by DTDC ref:926762,Logistics
MakeMyTrip - flight ticket for corporate account PO#19232,Travel
IRCTC airfare for business trip,Travel
MAERSK container movement Amt INR 39736,Logistics
ChemStore - finished goods procurement for corporate account,Inventory
WB Stationers staplers PO#19232,Office Supplies
warehouse stock replenishment billed by Mega Wholesale INV-2026-8573,Inventory
packaging materials from Mega Wholesale PO#19232,Inventory
office pens billed by PaperMart PO#19232,Office Supplies
Microsoft cloud hosting Amt INR 39736,Cloud/Software
Airtel invoice for broadband invoice,Utilities
printer toner billed by PaperMart PO#19232,Office Supplies
lodging chg billed by Akasa Air Amt INR 39736,Travel
raw material purchase billed by Industrial Hub INV-2026-8573,Inventory
